position,company,jd,workplace,education,salary
后端工程师,阿里,"Spring Boot,NoSQL,Redis",上海,本科,21000
NLP算法工程师,阿里,"自然语言处理,深度学习,TensorFlow",北京,硕士,28000
NLP算法工程师,阿里,"自然语言处理,Python,PyTorch",浙江,博士,35000
NLP算法工程师,阿里,"自然语言处理,机器学习,Scikit-learn",四川,硕士,28000
后端工程师,阿里,"Java,Python,Kubernetes",武汉,高中及以下,18000
后端工程师,阿里,"Linux,RabbitMQ,分布式系统",广东,本科,22000
NLP算法工程师,阿里,"自然语言处理,神经网络,机器翻译",山东,博士,34000
NLP算法工程师,阿里,"自然语言处理,知识图谱,语义理解",陕西,硕士,29000
后端工程师,字节,"Java,Spring Boot,MySQL",北京,本科,20000
后端工程师,字节,"Python,Django,PostgreSQL",上海,硕士,22000
后端工程师,字节,"C++,Redis,RabbitMQ",广东,硕士,23000
后端工程师,字节,"JavaScript,Node.js,MongoDB",浙江,本科,21000
后端工程师,字节,"Go,Rust,Cloud Native",江苏,硕士,24000
NLP算法工程师,字节,"tensorflow,python,NLP",广东,博士,28000
NLP算法工程师,字节,"pytorch,python,ACL",浙江,硕士,27000
NLP算法工程师,字节,"BERT,deep learning,transformers",江苏,博士,29000
NLP算法工程师,字节,"LSTM,NER,Semantic Analysis",上海,硕士,26000
NLP算法工程师,字节,"Dialogue Systems,Reinforcement Learning,Seq2Seq",北京,博士,30000
后端工程师,腾讯,"Java,Python,Django",北京,本科,20000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",浙江,硕士,30000
后端工程师,腾讯,"Java,Python,Django",上海,博士,25000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",广东,本科,28000
后端工程师,腾讯,"Java,Python,Django",福建,硕士,22000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",天津,博士,32000
后端工程师,腾讯,"Java,Python,Django",江苏,高中及以下,18000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",重庆,本科,28000
后端工程师,腾讯,"Java,Python,Django",湖北,博士,25000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",四川,硕士,31000
后端工程师,阿里,"Java,Python,MySQL",北京,本科,20000
后端工程师,阿里,"Java,Python,PostgreSQL",上海,硕士,25000
NLP算法工程师,阿里,"pytorch,python,ACL",广东,硕士,30000
NLP算法工程师,阿里,"tensorflow,python,keras",江苏,博士,40000
后端工程师,阿里,"C++,Python,NoSQL",深圳,高中及以下,15000
后端工程师,阿里,"C++,Python,SQLite",浙江,本科,22000
NLP算法工程师,阿里,"pytorch,python,spaCy",四川,硕士,28000
NLP算法工程师,阿里,"pytorch,python,CUDA",福建,博士,35000
后端工程师,阿里,"Go,Python,PostgreSQL",河南,硕士,24000
NLP算法工程师,阿里,"tensorflow,python,GPT",湖南,本科,26000
后端工程师,字节,"Java, Spring Boot, Docker",北京,本科,15000
后端工程师,字节,"Java, MySQL, Redis",上海,本科,16000
后端工程师,字节,"Java, NoSQL, AWS",广东,硕士,20000
后端工程师,字节,"Java, Redis, Elasticsearch",深圳,硕士,22000
后端工程师,字节,"Java, Kubernetes, Microservices",浙江,博士,25000
NLP算法工程师,字节,"pytorch,python,ACL",北京,硕士,30000
NLP算法工程师,字节,"pytorch,python,CUDA",浙江,博士,35000
NLP算法工程师,字节,"TensorFlow,Deep Learning,NLU",广东,硕士,32000
NLP算法工程师,字节,"Natural Language Processing,ML,Python",深圳,博士,40000
NLP算法工程师,字节,"Machine Learning,Deep Learning,Python",上海,博士,45000
后端工程师,美团,"Java,Spring,MySQL",北京,本科,15000
NLP算法工程师,美团,"pytorch,python,ACL",广东,博士,35000
后端工程师,美团,"MySQL,Java,Redis",浙江,硕士,18000
NLP算法工程师,美团,"tensorflow,CUDA,python",广东,本科,32000
后端工程师,美团,"Java,Spring,MySQL",江苏,高中及以下,12000
NLP算法工程师,美团,"pytorch,CUDA,python",湖北,硕士,34000
后端工程师,美团,"Redis,MySQL,Java",上海,高中及以下,11000
NLP算法工程师,美团,"pytorch,python,ACL",福建,本科,30000
后端工程师,美团,"Java,Spring,MySQL",北京,硕士,20000
NLP算法工程师,美团,"pytorch,python,ACL",安徽,博士,37000
后端工程师,百度,"Java,Spring Boot,Microservices",北京,本科,25000
NLP算法工程师,百度,"TensorFlow,Python,BERT",上海,硕士,30000
后端工程师,百度,"Node.js,Express,MongoDB",深圳,本科,26000
NLP算法工程师,百度,"GPT-3,PyTorch,Java",广东,博士,35000
后端工程师,百度,"Python,Django,REST API",江苏,高中及以下,20000
NLP算法工程师,百度,"Hugging Face,Transformer,NLU",浙江,硕士,32000
后端工程师,百度,"Golang,Echo,Redis",四川,本科,24000
NLP算法工程师,百度,"DistilBERT,Fasttext,NLTK",山东,博士,34000
后端工程师,百度,"C++,Boost,Concurrency",陕西,硕士,27000
NLP算法工程师,百度,"Text Summarization,Tokenizers,ML",湖北,本科,28000
后端工程师,百度,"Java,MySQL,Python",北京,本科,25000
NLP算法工程师,百度,"pytorch,python,ACL",上海,硕士,35000
后端工程师,百度,"Java,MySQL,Python",广东,本科,26000
NLP算法工程师,百度,"pytorch,python,CUDA",深圳,博士,45000
后端工程师,百度,"Java,MySQL,Python",江苏,硕士,30000
NLP算法工程师,百度,"tensorflow,python,ACL",浙江,博士,40000
后端工程师,百度,"Java,MySQL,Python",四川,高中及以下,18000
NLP算法工程师,百度,"pytorch,python,NLP",湖北,本科,28000
后端工程师,百度,"Java,MySQL,Python",福建,博士,35000
NLP算法工程师,百度,"tensorflow,python,CUDA",广东,硕士,36000
后端工程师,字节,"java,python,MySQL",北京,本科,16000
NLP算法工程师,字节,"pytorch,python,ACL",上海,硕士,28000
后端工程师,字节,"java,python,MongoDB",广东,硕士,20000
NLP算法工程师,字节,"tensorflow,python,CUDA",浙江,博士,35000
后端工程师,字节,"java,python,Oracle",福建,高中及以下,12000
NLP算法工程师,字节,"pytorch,python,NLTK",江苏,本科,26000
后端工程师,字节,"java,python,PostgreSQL",湖北,博士,22000
NLP算法工程师,字节,"tensorflow,python,SpaCy",湖南,硕士,32000
后端工程师,字节,"java,python,LucidDB",陕西,本科,17000
NLP算法工程师,字节,"pytorch,python,Gensim",山东,博士,36000
后端工程师,美团,"Java,MySQL,Redis",北京,本科,25000
后端工程师,美团,"Java,Oracle,SSM",上海,硕士,28000
后端工程师,美团,"Java,MySQL,Spring",广东,本科,26000
后端工程师,美团,"Java,MySQL,MyBatis",浙江,博士,30000
后端工程师,美团,"Java,PostgreSQL,Hibernate",江苏,硕士,29000
NLP算法工程师,美团,"pytorch,python,ACL",北京,硕士,32000
NLP算法工程师,美团,"tensorflow,python,Keras",上海,博士,38000
NLP算法工程师,美团,"pytorch,python,CUDA",广东,本科,30000
NLP算法工程师,美团,"tensorflow,python,EMNLP",浙江,硕士,33000
NLP算法工程师,美团,"pytorch,python,NER",江苏,博士,37000
后端工程师,阿里,"Java, Python, MySQL",浙江,本科,25000
后端工程师,阿里,"C++, Python, Redis",北京,硕士,28000
后端工程师,阿里,"Golang, Docker, Kubernetes",江苏,博士,35000
后端工程师,阿里,"Java, SpringBoot, MySQL",广东,硕士,30000
后端工程师,阿里,"Python, Django, PostgreSQL",辽宁,硕士,27000
NLP算法工程师,阿里,"Pytorch, Python, ACL",河南,硕士,40000
NLP算法工程师,阿里,"Tensorflow, Keras, NLTK",山东,博士,45000
NLP算法工程师,阿里,"BERT, Transformers, Python",福建,本科,35000
NLP算法工程师,阿里,"Deep Learning, Machine Learning, Spacy",四川,硕士,39000
NLP算法工程师,阿里,"Pytorch, Transformers, Keras",湖南,博士,42000
后端工程师,腾讯,"Java,MySQL,Redis",上海,本科,25000
后端工程师,腾讯,"Python,Django,RestfulAPI",北京,本科,26000
后端工程师,腾讯,"Go,MySQL,Docker",广东,硕士,28000
后端工程师,腾讯,"Java,MySQL,Kafka",深圳,博士,35000
后端工程师,腾讯,"C++,Redis,RabbitMQ",杭州,硕士,30000
NLP算法工程师,腾讯,"Tensorflow,Python,NLTK",北京,硕士,32000
NLP算法工程师,腾讯,"Pytorch,Python,Spacy",上海,本科,29000
NLP算法工程师,腾讯,"Keras,Java,Gensim",武汉,硕士,31000
NLP算法工程师,腾讯,"NLP,Python,BERT",南京,博士,38000
NLP算法工程师,腾讯,"DeepLearning, Tensorflow, LDA",杭州,本科,30000
后端工程师,字节,"Java,Node.js,数据库技术",北京,本科,25000
NLP算法工程师,字节,"Python,Pytorch,Natural Language Processing",上海,博士,40000
后端工程师,字节,"Go,Node.js,分布式系统",浙江,硕士,30000
NLP算法工程师,字节,"Python,TensorFlow,Machine Learning",江苏,硕士,35000
后端工程师,字节,"Java,SpringBoot,数据库技术",福建,本科,28000
NLP算法工程师,字节,"Python,Keras,Deep Learning",四川,博士,42000
后端工程师,字节,"Go,微服务,数据库技术",湖南,硕士,31000
NLP算法工程师,字节,"Python,BERT,Text Classification",广东,博士,40000
后端工程师,字节,"Java,微服务,分布式系统",陕西,本科,26000
NLP算法工程师,字节,"Python,LSTM,Speech Recognition",湖北,硕士,36000
后端工程师,阿里,"Java,C++,SQL",上海,本科,20000
NLP算法工程师,阿里,"pytorch,python,ACL",江苏,硕士,35000
后端工程师,阿里,"Java,Python,NoSQL",北京,本科,25000
NLP算法工程师,阿里,"NLTK,RASA,Machine Learning",湖北,博士,45000
后端工程师,阿里,"Java,Node.js,NoSQL",广东,本科,24000
NLP算法工程师,阿里,"TensorFlow,python,Deep Learning",四川,博士,40000
后端工程师,阿里,"Java,C#,MySQL",浙江,硕士,30000
NLP算法工程师,阿里,"Keras,python,Natural Language Understanding",江西,硕士,35000
后端工程师,阿里,"Java,Ruby,Oracle",福建,硕士,28000
NLP算法工程师,阿里,"BERT,python,Machine Learning",河北,博士,42000
后端工程师,腾讯,"Java,Python,Docker",北京,本科,24000
NLP算法工程师,腾讯,"pytorch,python,ACL",上海,硕士,35000
后端工程师,腾讯,"Java,Python,Kubernetes",广东,本科,25000
NLP算法工程师,腾讯,"tensorflow,python,NLP",浙江,博士,45000
后端工程师,腾讯,"Java,Distributed Systems,Microservices",四川,硕士,30000
NLP算法工程师,腾讯,"pytorch,python,NER",江苏,硕士,35000
后端工程师,腾讯,"Java,Python,API",福建,高中及以下,18000
NLP算法工程师,腾讯,"tensorflow,python,Word Embeddings",湖南,硕士,36000
后端工程师,腾讯,"Java,Spring Framework,Redis",河北,博士,40000
NLP算法工程师,腾讯,"pytorch,python,Text Classification",陕西,本科,32000
后端工程师,小红书,"Java,MySQL,MongoDB",上海,本科,20000
NLP算法工程师,小红书,"Tensorflow,Python,Stanford NLP",北京,硕士,30000
后端工程师,小红书,"Python,Django,API development",广东,本科,23000
NLP算法工程师,小红书,"Pytorch,Python,Machine Learning",浙江,硕士,32000
后端工程师,小红书,"Go,RabbitMQ,Elasticsearch",江苏,本科,24000
NLP算法工程师,小红书,"NLP,Deep Learning,Dialogflow",四川,博士,39000
后端工程师,小红书,"Node.js,Express,MongoDB",福建,本科,21000
NLP算法工程师,小红书,"Neural Networks,NLU,Text Classification",湖南,硕士,30000
后端工程师,小红书,"Kubernetes,Docker,Redis",北京,高中及以下,18000
NLP算法工程师,小红书,"NLTK,Gensim,Scikit-learn",湖北,博士,41000
后端工程师,阿里,"Java,Python,MySQL",北京,本科,25000
NLP算法工程师,阿里,"TensorFlow,python,Keras",上海,硕士,35000
后端工程师,阿里,"Spring,MySQL,Redis",广东,本科,28000
NLP算法工程师,阿里,"BERT,pytorch,ACL",浙江,博士,40000
后端工程师,阿里,"Django,PostgreSQL,Memcached",四川,硕士,30000
NLP算法工程师,阿里,"Transformer,Python,Spacy",江苏,硕士,36000
后端工程师,阿里,"Java,Golang,ELK",福建,本科,26000
NLP算法工程师,阿里,"OpenNMT,LSTM,StanfordNLP",陕西,博士,42000
后端工程师,阿里,"Node.js,MongoDB,RESTful",湖南,高中及以下,20000
NLP算法工程师,阿里,"GPT-3,Python,Gensim",天津,本科,28000
后端工程师,字节,"Java,Python,Go",北京,本科,25000
后端工程师,字节,"Java,Python,MySQL",上海,硕士,30000
后端工程师,字节,"Java,Python,Docker",广东,本科,23000
后端工程师,字节,"Java,Python,Kubernetes",江苏,硕士,27000
后端工程师,字节,"Java,Python,MongoDB",浙江,高中及以下,20000
NLP算法工程师,字节,"pytorch,python,ACL",河南,硕士,35000
NLP算法工程师,字节,"TensorFlow,python,CUDA",湖北,本科,28000
NLP算法工程师,字节,"pytorch,python,Hadoop",广东,博士,40000
NLP算法工程师,字节,"pytorch,python,Spark",山东,硕士,35000
NLP算法工程师,字节,"pytorch,python,Machine Learning",福建,本科,32000
后端工程师,美团,"Java,Spring,MySQL",北京,本科,13000
NLP算法工程师,美团,"Python,Tensorflow,NLTK",上海,硕士,20000
后端工程师,美团,"Python,Django,PostgreSQL",广东,本科,15000
NLP算法工程师,美团,"Java,DeepLearning4j,Stanford CoreNLP",浙江,博士,25000
后端工程师,美团,"Go,Microservices,MongoDB",江苏,本科,16000
NLP算法工程师,美团,"R,Caret,Featuretools",福建,硕士,22000
后端工程师,美团,"Ruby,Rails,SQLite",湖南,本科,14000
NLP算法工程师,美团,"Matlab,CNN,BERT",四川,博士,28000
后端工程师,美团,"PHP,Laravel,MySQL",湖北,本科,12000
NLP算法工程师,美团,"Julia,Flux,Transformers",河南,硕士,23000
后端工程师,百度,"Java,MySQL,Hadoop",广东,本科,15000
NLP算法工程师,百度,"pytorch,python,ACL",北京,硕士,30000
后端工程师,百度,"Python,MySQL,AWS",浙江,高中及以下,10000
NLP算法工程师,百度,"TensorFlow,NLP,Gensim",上海,博士,40000
后端工程师,百度,"Java,Oracle,Cloud",湖北,本科,20000
NLP算法工程师,百度,"Deep Learning,AI,Machine Learning",湖南,硕士,35000
后端工程师,百度,"Python,MySQL,Docker",江苏,高中及以下,12000
NLP算法工程师,百度,"Natural Language Processing,Machine Learning,AI",四川,博士,45000
后端工程师,百度,"C++,Linux,MySQL",福建,本科,18000
NLP算法工程师,百度,"Deep Learning,Data Mining,Python",广东,硕士,32000
后端工程师,腾讯,"Java,SpringBoot,MySQL",北京,本科,25000
NLP算法工程师,腾讯,"Python,LSTM,Word2Vec",上海,博士,35000
后端工程师,腾讯,"NodeJs,Express,Koa",广东,硕士,30000
NLP算法工程师,腾讯,"TensorFlow,BERT,HAN",江苏,博士,40000
后端工程师,腾讯,"Python,Django,Flask",浙江,本科,25000
NLP算法工程师,腾讯,"Keras,Seq2Seq,Attention",湖南,硕士,32000
后端工程师,腾讯,"Ruby,Rails,PostgreSQL",湖北,高中及以下,20000
NLP算法工程师,腾讯,"PyTorch,Transformer,GPT",四川,博士,37000
后端工程师,腾讯,"Go,Beego,Gin",福建,本科,24000
NLP算法工程师,腾讯,"Java,Speech Recognition,Machine Learning",甘肃,硕士,33000
后端工程师,小红书,"Java,SpringBoot,Mysql",北京,本科,20000
NLP算法工程师,小红书,"pytorch,python,ACL",上海,硕士,30000
后端工程师,小红书,"Java, SpringBoot, Redis",广东,本科,22000
NLP算法工程师,小红书,"TensorFlow, Java, LSTM",浙江,硕士,32000
后端工程师,小红书,"C++, Linux, Docker",湖北,本科,21000
NLP算法工程师,小红书,"pytorch,python,Keras",湖南,博士,40000
后端工程师,小红书,"SpringCloud, Kubernetes, Rabbitmq",江苏,硕士,25000
NLP算法工程师,小红书,"BERT,python, Deep Learning",福建,博士,42000
后端工程师,小红书,"Microservices, Docker, Kubernetes",江西,本科,23000
NLP算法工程师,小红书,"pytorch, NLP, Machine Learning",四川,博士,41000
后端工程师,美团,"Java,Python,MySQL",北京,本科,25000
NLP算法工程师,美团,"pytorch,python,ACL",上海,硕士,30000
后端工程师,美团,"Java,Python,MySQL",广东,高中及以下,18000
NLP算法工程师,美团,"pytorch,python,ACL",浙江,博士,35000
后端工程师,美团,"Java,Python,MySQL",四川,本科,24000
NLP算法工程师,美团,"pytorch,python,CUDA",江苏,硕士,31000
后端工程师,美团,"Java,Python,MySQL",陕西,硕士,28000
NLP算法工程师,美团,"pytorch,python,CUDA",南京,博士,40000
后端工程师,美团,"Java,Python,MySQL",深圳,硕士,27000
NLP算法工程师,美团,"pytorch,python,ACL",杭州,硕士,33000
后端工程师,美团,"Java,MySQL,Spring",北京,本科,15000
NLP算法工程师,美团,"Python,TensorFlow,NLP",上海,博士,25000
后端工程师,美团,"Java,MySQL,Spring boot",广东,硕士,18000
NLP算法工程师,美团,"Python,pytorch,NLP",浙江,博士,28000
后端工程师,美团,"Go,MySQL,Microservice",湖北,博士,21000
NLP算法工程师,美团,"Python,BERT,NLP",江苏,硕士,26000
后端工程师,美团,"Java,Redis,Spring Cloud",四川,本科,16000
NLP算法工程师,美团,"Python,Transformer,Deep Learning",山东,硕士,27000
后端工程师,美团,"Java,Docker,Kubernetes",辽宁,本科,17000
NLP算法工程师,美团,"Python,GPT-3,NLP",黑龙江,博士,30000
后端工程师,腾讯,"java,python,node.js",北京,本科,20000
后端工程师,腾讯,"java,python,C++",上海,本科,21000
NLP算法工程师,腾讯,"pytorch,python,ACL",浙江,硕士,30000
NLP算法工程师,腾讯,"pytorch,python,CUDA",广东,博士,40000
NLP算法工程师,腾讯,"tensorflow,python,CUDA",四川,博士,35000
后端工程师,腾讯,"java,python,Go",江苏,硕士,25000
后端工程师,腾讯,"java,python,SQL",湖北,高中及以下,15000
NLP算法工程师,腾讯,"tensorflow,python,CUDA",福建,硕士,32000
NLP算法工程师,腾讯,"tensorflow,python,Pandas",山东,博士,37000
后端工程师,腾讯,"java,python,Docker",河南,本科,22000
后端工程师,小红书,"Java,MySQL,Linux",北京,本科,25000
NLP算法工程师,小红书,"Tensorflow,Python,BERT",上海,硕士,28000
后端工程师,小红书,"PHP,Redis,Node.js",广东,本科,22000
NLP算法工程师,小红书,"Hugging Face,Python,CUDA",浙江,硕士,30000
后端工程师,小红书,"Go,MongoDB,NoSQL",江苏,本科,24000
NLP算法工程师,小红书,"generative pretrained transformer,Python,ACL",深圳,硕士,29000
后端工程师,小红书,"Python,Django,API",河南,本科,23000
NLP算法工程师,小红书,"pytorch,python,OpenAI",福建,硕士,27000
后端工程师,小红书,"Ruby,PostgreSQL,Cloud Services",四川,本科,24000
NLP算法工程师,小红书,"Natural Language Processing,Python,syntax",陕西,硕士,26000
后端工程师,百度,"Java,Python,MySQL",北京,本科,20000
后端工程师,百度,"Java,Python,Oracle",上海,硕士,25000
后端工程师,百度,"Java,Python,PostgreSQL",广东,本科,21000
NLP算法工程师,百度,"pytorch,python,ACL",浙江,硕士,30000
NLP算法工程师,百度,"pytorch,python,CUDA",江苏,博士,40000
后端工程师,百度,"Java,Python,Hadoop",陕西,本科,18000
后端工程师,百度,"Java,Node.js,MongoDB",湖北,硕士,24000
后端工程师,百度,"Java,Python,Presto",四川,本科,19000
NLP算法工程师,百度,"TensorFlow,python,NLP",湖南,硕士,32000
NLP算法工程师,百度,"TensorFlow,python,cudNN",江西,博士,38000
后端工程师,字节,"Java,Python,MySQL",北京,本科,25000
NLP算法工程师,字节,"TensorFlow,Python,并行计算",上海,硕士,35000
后端工程师,字节,"Go,C++,Redis",广州,本科,26000
NLP算法工程师,字节,"BERT,transformers,自然语言处理",深圳,博士,40000
后端工程师,字节,"Spring Boot,Docker,云计算",杭州,硕士,28000
NLP算法工程师,字节,"词向量,信息检索,神经网络",苏州,硕士,34000
后端工程师,字节,"分布式系统,Kubernetes,API设计",南京,本科,27000
NLP算法工程师,字节,"图卷积,序列标注,数据挖掘",成都,博士,38000
后端工程师,字节,"网络编程,云原生,微服务",重庆,硕士,27000
NLP算法工程师,字节,"HuggingFace,Attention机制,知识图谱",武汉,硕士,33000
后端工程师,美团,"Java,Springboot,MySQL",北京,本科,15000
后端工程师,美团,"Java,SpringCloud,Docker",上海,硕士,20000
NLP算法工程师,美团,"Bert,Transformer,Python",广东,硕士,25000
后端工程师,美团,"Java,Ruby,PostgreSQL",浙江,本科,18000
NLP算法工程师,美团,"pytorch,python,ACL",湖南,硕士,28000
后端工程师,美团,"Java,Springboot,MongoDB",江苏,高中及以下,10000
NLP算法工程师,美团,"Bert,Transformer,CUDA",四川,博士,35000
后端工程师,美团,"Java,Scala,Hadoop",天津,本科,17000
NLP算法工程师,美团,"tensorflow,python,NLP",陕西,博士,36000
后端工程师,美团,"Java,Kotlin,Redis",福建,本科,16000
后端工程师,阿里,"Java,Python,Node.js",北京,本科,15000
NLP算法工程师,阿里,"Python,Natural Language Processing,Machine Learning",上海,硕士,30000
后端工程师,阿里,"Java,Python,Node.js",广东,本科,18000
NLP算法工程师,阿里,"Python,Natural Language Processing,Machine Learning",江苏,本科,25000
后端工程师,阿里,"Java,Python,Node.js",浙江,本科,20000
NLP算法工程师,阿里,"Python,Natural Language Processing,Machine Learning",四川,硕士,35000
后端工程师,阿里,"Java,Python,Node.js",山东,本科,15000
NLP算法工程师,阿里,"Python,Natural Language Processing,Machine Learning",江西,博士,40000
后端工程师,阿里,"Java,Python,Node.js",湖南,硕士,20000
NLP算法工程师,阿里,"Python,Natural Language Processing,Machine Learning",福建,博士,45000
